"IDMEDIDA","NODO","TEMPERATURA","HUMEDAD RELATIVA","HUMEDAD DE LA TIERRA","NIVEL UV","INTENSIDAD LUMÍNICA","AÑO","MES","DIA","HORA","MINUTO"
"172","5","30","37","62,29","0","5818","2018","5","9","11","36"
"173","2","31","17","61,97","0","5865","2018","5","9","11","36"
"174","5","30","37","62,61","0","5818","2018","5","9","11","37"
"175","2","31","17","61,97","0","5865","2018","5","9","11","37"
"176","5","30","38","62,61","0","5818","2018","5","9","11","38"
"177","2","31","17","61,81","0","5865","2018","5","9","11","38"
"178","5","30","41","63,09","0","5824","2018","5","9","11","39"
"179","2","31","17","61,81","0","5870","2018","5","9","11","39"
"180","5","30","42","62,93","0","5824","2018","5","9","11","40"
"181","2","30","18","61,65","0","5870","2018","5","9","11","40"
"182","5","30","44","63,25","0","5824","2018","5","9","11","41"
"183","2","30","18","61,65","0","5870","2018","5","9","11","41"
"184","5","30","45","63,25","0","5824","2018","5","9","11","42"
"185","2","30","18","61,65","0","5870","2018","5","9","11","42"
"186","5","30","46","63,57","0","5824","2018","5","9","11","43"
"187","2","30","18","61,65","0","5870","2018","5","9","11","43"
"188","2","30","18","61,65","0","5870","2018","5","9","11","44"
"189","5","30","49","63,57","0","5829","2018","5","9","11","45"
"190","2","30","18","61,65","0","5870","2018","5","9","11","45"
"191","5","30","51","64,05","0","5829","2018","5","9","11","46"
"192","2","30","18","61,65","0","5870","2018","5","9","11","46"
"193","5","30","52","63,89","0","5829","2018","5","9","11","47"
"194","2","30","18","61,65","0","5870","2018","5","9","11","47"
"195","5","30","51","63,89","0","5829","2018","5","9","11","48"
"196","2","30","18","61,81","0","5876","2018","5","9","11","48"
"197","5","30","52","64,05","0","5853","2018","5","9","11","49"
"198","2","30","18","61,81","0","5882","2018","5","9","11","49"
"199","5","30","52","64,21","0","5853","2018","5","9","11","50"
"200","2","30","18","61,81","0","5882","2018","5","9","11","50"
"201","5","30","52","64,21","0","5835","2018","5","9","11","51"
"202","2","30","18","61,65","0","5882","2018","5","9","11","51"
"203","5","30","52","64,7","0","5835","2018","5","9","11","52"
"204","2","30","18","61,65","0","5882","2018","5","9","11","52"
"205","5","30","51","64,21","0","5824","2018","5","9","11","53"
"206","2","30","18","61,65","0","5876","2018","5","9","11","53"
"207","5","30","51","63,89","0","5824","2018","5","9","11","54"
"208","2","30","18","61,65","0","5876","2018","5","9","11","54"
"209","5","30","52","64,54","0","5824","2018","5","9","11","55"
"210","2","30","18","61,65","0","5870","2018","5","9","11","55"
"211","5","30","52","64,05","0","5824","2018","5","9","11","56"
"212","2","30","18","61,65","0","5870","2018","5","9","11","56"
"213","5","30","52","64,05","0","5824","2018","5","9","11","57"
"214","2","30","18","61,65","0","5876","2018","5","9","11","57"
"215","5","30","52","64,54","0","5835","2018","5","9","11","58"
"216","2","30","18","61,65","0","5882","2018","5","9","11","58"
"217","5","30","52","64,54","0","5841","2018","5","9","11","59"
"218","2","30","18","61,65","0","5882","2018","5","9","11","59"
"219","5","30","53","64,54","0","5847","2018","5","9","12","0"
"220","2","30","18","61,49","1","5882","2018","5","9","12","0"
"221","5","30","53","65,02","0","5853","2018","5","9","12","1"
"222","2","30","18","61,49","0","5888","2018","5","9","12","1"
"223","5","30","52","64,86","0","5847","2018","5","9","12","2"
"224","2","31","17","61,49","0","5882","2018","5","9","12","2"
