id_Variable;id_nodo;Temperatura;Humedad;Hum. Tierra;Nivel_UV;intlum;ano;MES;DIA;HORA;MINUTO;
2962;2;30;18;62,13;0;5870;2018;5;9;10;37;
2963;4;30;53;63,41;0;5818;2018;5;9;10;38;
2964;3;30;47;58,76;0;5835;2018;5;9;10;38;
2965;5;32;45;50,73;0;5859;2018;5;9;10;38;
2966;2;30;18;62,13;0;5870;2018;5;9;10;38;
2967;4;30;53;60,52;0;5806;2018;5;9;10;39;
2968;3;30;47;58,44;0;5835;2018;5;9;10;39;
2969;2;31;17;62,13;0;5870;2018;5;9;10;39;
2970;4;31;52;58,12;0;5829;2018;5;9;10;40;
2971;3;31;44;58,44;0;5835;2018;5;9;10;40;
2972;5;32;43;51,21;0;5859;2018;5;9;10;40;
2973;2;31;17;61,97;0;5870;2018;5;9;10;40;
2974;4;31;50;56,51;0;5829;2018;5;9;10;41;
2975;3;31;44;58,44;0;5835;2018;5;9;10;41;
2976;2;31;17;61,97;0;5870;2018;5;9;10;41;
2977;4;31;49;54,91;0;5829;2018;5;9;10;42;
2978;3;31;43;58,28;0;5835;2018;5;9;10;42;
2979;5;32;42;51,37;0;5853;2018;5;9;10;42;
2980;6;-;0;0;0;0;2018;5;9;10;42;
2981;3;31;42;58,28;0;5835;2018;5;9;10;43;
2982;5;32;42;51,53;0;5853;2018;5;9;10;43;
2983;6;32;41;0,01;6;5876;2018;5;9;10;43;
2984;2;31;17;61,97;0;5865;2018;5;9;10;43;
2985;4;-;0;0;0;0;2018;5;9;10;44;
2986;3;31;42;58,28;0;5835;2018;5;9;10;44;
2987;5;32;42;52,18;0;5859;2018;5;9;10;44;
2988;6;-;0;0;0;0;2018;5;9;10;44;
2989;2;31;17;61,81;0;5870;2018;5;9;10;44;
2990;4;31;46;52,34;0;5835;2018;5;9;10;45;
2991;3;31;43;58,12;0;5835;2018;5;9;10;45;
2992;5;32;42;52,18;0;5859;2018;5;9;10;45;
2993;2;31;17;61,97;0;5870;2018;5;9;10;45;
2994;6;33;40;0,01;6;5865;2018;5;9;10;45;
2995;4;31;48;52,34;0;5824;2018;5;9;10;46;
2996;3;31;43;57,95;0;5829;2018;5;9;10;46;
2997;5;32;41;52,82;0;5853;2018;5;9;10;46;
2998;2;31;17;62,13;0;5870;2018;5;9;10;46;
2999;4;31;47;52,18;0;5824;2018;5;9;10;47;
3000;3;31;43;57,95;0;5829;2018;5;9;10;47;
3001;5;33;40;52,98;0;5847;2018;5;9;10;47;
3002;2;31;17;61,97;0;5865;2018;5;9;10;47;
3003;4;31;47;52,34;0;5812;2018;5;9;10;48;
3004;2;31;17;61,97;0;5865;2018;5;9;10;49;
3005;4;31;46;52,5;0;5835;2018;5;9;10;49;
3006;3;31;42;57,95;0;5835;2018;5;9;10;49;
3007;5;33;41;53,3;0;5859;2018;5;9;10;49;
3008;2;32;17;61,81;0;5876;2018;5;9;10;49;
3009;6;-;0;0;0;0;2018;5;9;10;49;
3010;4;31;46;52,98;0;5835;2018;5;9;10;50;
3011;3;31;42;57,95;0;5841;2018;5;9;10;50;
3012;5;33;41;53,94;0;5859;2018;5;9;10;50;
3013;2;32;17;61,81;0;5876;2018;5;9;10;50;
3014;6;33;40;0,01;7;5870;2018;5;9;10;50;
3015;4;32;47;52,82;0;5829;2018;5;9;10;51;
3016;3;32;42;57,95;0;5835;2018;5;9;10;51;
3017;5;33;41;54,1;0;5853;2018;5;9;10;51;
3018;2;32;17;62,13;0;5870;2018;5;9;10;51;
3019;6;-;0;0;0;0;2018;5;9;10;51;
3020;4;31;48;52,98;0;5841;2018;5;9;10;52;
3021;4;32;48;53,3;0;5835;2018;5;9;10;53;
3022;3;32;43;57,79;0;5835;2018;5;9;10;53;
3023;5;33;42;55,39;0;5853;2018;5;9;10;53;
3024;2;32;17;61,97;0;5876;2018;5;9;10;53;
3025;6;33;40;0,01;7;5870;2018;5;9;10;53;
3026;5;33;41;55,71;0;5853;2018;5;9;10;54;
3027;2;32;17;61,97;0;5876;2018;5;9;10;54;
3028;6;33;40;0,01;7;5870;2018;5;9;10;54;
3029;3;32;43;57,63;0;5841;2018;5;9;10;55;
3030;4;32;49;53,94;0;5841;2018;5;9;10;55;
3031;5;33;41;56,03;0;5865;2018;5;9;10;55;
3032;2;32;17;61,97;0;5876;2018;5;9;10;55;
3033;6;34;39;0,01;7;5859;2018;5;9;10;55;
3034;4;32;49;54,1;0;5824;2018;5;9;10;56;
3035;5;33;42;56,19;0;5841;2018;5;9;10;56;
3036;2;32;17;61,97;0;5865;2018;5;9;10;56;
3037;3;32;42;57,79;0;5818;2018;5;9;10;57;
3038;4;32;48;54,26;0;5818;2018;5;9;10;57;
3039;5;33;40;56,51;0;5829;2018;5;9;10;57;
3040;2;32;17;61,81;0;5865;2018;5;9;10;57;
3041;6;-;0;0;0;0;2018;5;9;10;58;
3042;3;32;41;57,95;0;5818;2018;5;9;10;58;
3043;5;33;39;57,15;0;5835;2018;5;9;10;58;
3044;2;32;17;61,81;0;5865;2018;5;9;10;58;
3045;3;32;40;57,95;0;5818;2018;5;9;10;59;
3046;4;-;0;0;0;0;2018;5;9;10;59;
3047;5;33;38;57,47;0;5829;2018;5;9;10;59;
3048;2;32;17;61,97;0;5865;2018;5;9;10;59;
3049;6;-;0;0;0;0;2018;5;9;11;0;
3050;3;32;39;57,95;0;5818;2018;5;9;11;0;
3051;4;31;44;54,74;0;5812;2018;5;9;11;0;
3052;5;32;38;57,79;0;5824;2018;5;9;11;0;
3053;2;32;17;61,97;0;5859;2018;5;9;11;0;
3054;6;33;35;0,01;7;5841;2018;5;9;11;1;
3055;3;32;40;58,12;0;5818;2018;5;9;11;1;
3056;5;32;39;57,95;0;5824;2018;5;9;11;1;
3057;2;32;17;61,81;0;5865;2018;5;9;11;1;
3058;6;33;35;0,01;7;5847;2018;5;9;11;2;
3059;3;31;39;58,12;0;5818;2018;5;9;11;2;
3060;5;32;39;58,28;0;5829;2018;5;9;11;2;
3061;4;-;0;0;0;0;2018;5;9;11;2;
3062;2;32;17;61,81;0;5865;2018;5;9;11;2;
3063;6;32;35;0,01;7;5853;2018;5;9;11;3;
3064;3;31;36;57,95;0;5824;2018;5;9;11;3;
3065;5;32;36;58,6;0;5835;2018;5;9;11;3;
3066;4;31;44;55,07;0;5818;2018;5;9;11;3;
3067;2;32;17;61,81;0;5870;2018;5;9;11;3;
3068;6;33;33;0,01;7;5847;2018;5;9;11;4;
3069;3;32;36;58,28;0;5824;2018;5;9;11;4;
3070;5;32;38;59,08;0;5829;2018;5;9;11;4;
3071;4;31;46;55,55;0;5818;2018;5;9;11;4;
3072;2;32;17;61,81;0;5865;2018;5;9;11;4;
3073;6;33;34;0,01;7;5841;2018;5;9;11;5;
3074;3;32;36;58,12;0;5818;2018;5;9;11;5;
3075;5;32;38;59,08;0;5829;2018;5;9;11;5;
3076;4;31;44;55,55;0;5818;2018;5;9;11;5;
3077;2;32;17;61,81;0;5865;2018;5;9;11;5;
3078;6;32;35;0,01;7;5841;2018;5;9;11;6;
3079;3;31;36;58,12;0;5818;2018;5;9;11;6;
3080;5;32;36;59,4;0;5829;2018;5;9;11;6;
3081;2;32;17;61,65;0;5865;2018;5;9;11;6;
3082;6;32;34;0,01;7;5841;2018;5;9;11;7;
3083;3;31;36;58,28;0;5818;2018;5;9;11;7;
3084;5;32;36;59,72;0;5829;2018;5;9;11;7;
3085;2;32;17;61,81;0;5865;2018;5;9;11;7;
3086;4;-;0;0;0;0;2018;5;9;11;7;
3087;6;32;35;0,01;7;5835;2018;5;9;11;8;
3088;3;31;36;58,12;0;5818;2018;5;9;11;8;
3089;5;32;37;60,36;0;5829;2018;5;9;11;8;
3090;2;32;17;61,97;0;5865;2018;5;9;11;8;
3091;4;31;44;56,19;0;5812;2018;5;9;11;8;
3092;3;31;36;58,28;0;5818;2018;5;9;11;9;
3093;6;32;35;0,01;7;5841;2018;5;9;11;9;
3094;5;31;37;60,04;0;5829;2018;5;9;11;9;
3095;2;32;17;61,97;0;5865;2018;5;9;11;9;
3096;4;30;45;56,19;0;5818;2018;5;9;11;9;
3097;3;31;36;58,28;0;5824;2018;5;9;11;10;
3098;6;32;35;0,01;7;5841;2018;5;9;11;10;
3099;5;31;36;60,2;0;5829;2018;5;9;11;10;
3100;2;32;17;61,81;0;5865;2018;5;9;11;10;
3101;4;30;44;56,67;0;5818;2018;5;9;11;10;
3102;3;31;36;58,6;0;5824;2018;5;9;11;11;
3103;6;32;35;0,01;7;5847;2018;5;9;11;11;
3104;5;32;36;60,84;0;5835;2018;5;9;11;11;
3105;2;32;17;61,81;0;5870;2018;5;9;11;11;
3106;4;31;43;56,67;0;5824;2018;5;9;11;11;
3107;3;31;35;58,28;0;5824;2018;5;9;11;12;
3108;6;32;34;0,01;7;5847;2018;5;9;11;12;
3109;5;32;37;60,52;0;5829;2018;5;9;11;12;
3110;2;32;17;61,97;0;5870;2018;5;9;11;12;
3111;4;30;44;56,83;0;5818;2018;5;9;11;12;
3112;3;31;36;58,12;0;5818;2018;5;9;11;13;
3113;6;32;35;0,01;7;5835;2018;5;9;11;13;
3114;5;32;38;60,36;0;5824;2018;5;9;11;13;
3115;2;32;17;61,97;0;5865;2018;5;9;11;13;
3116;4;32;43;56,99;0;5812;2018;5;9;11;13;
3117;3;32;36;58,12;0;5812;2018;5;9;11;14;
3118;6;32;34;0,01;7;5835;2018;5;9;11;14;
3119;5;32;38;60,68;0;5818;2018;5;9;11;14;
3120;2;32;17;61,97;0;5859;2018;5;9;11;14;
3121;4;30;44;56,99;0;5812;2018;5;9;11;14;
3122;3;32;36;58,28;0;5812;2018;5;9;11;15;
3123;6;32;35;0,01;7;5835;2018;5;9;11;15;
3124;5;31;36;60,68;0;5818;2018;5;9;11;15;
3125;2;32;17;61,81;0;5859;2018;5;9;11;15;
3126;4;30;44;57,15;0;5806;2018;5;9;11;15;
3127;3;31;36;58,44;0;5812;2018;5;9;11;16;
3128;6;32;35;0,01;7;5829;2018;5;9;11;16;
3129;5;31;36;61,33;0;5812;2018;5;9;11;16;
3130;2;32;17;61,65;0;5859;2018;5;9;11;16;
3131;3;31;36;58,6;0;5812;2018;5;9;11;17;
3132;6;32;36;0,01;7;5829;2018;5;9;11;17;
3133;5;31;39;61,16;0;5812;2018;5;9;11;17;
3134;2;32;17;61,65;0;5859;2018;5;9;11;17;
3135;4;-;0;0;0;0;2018;5;9;11;17;
3136;3;31;36;58,44;0;5806;2018;5;9;11;18;
3137;6;32;35;0,01;7;5829;2018;5;9;11;18;
3138;5;31;37;61,16;0;5812;2018;5;9;11;18;
3139;2;31;17;61,97;0;5859;2018;5;9;11;18;
3140;4;30;44;57,79;0;5806;2018;5;9;11;18;
3141;3;31;35;58,28;0;5806;2018;5;9;11;19;
3142;6;32;35;0,01;7;5829;2018;5;9;11;19;
3143;5;31;36;61;0;5812;2018;5;9;11;19;
3144;2;31;17;61,97;0;5859;2018;5;9;11;19;
3145;4;30;44;58,12;0;5806;2018;5;9;11;19;
3146;3;31;35;58,12;0;5806;2018;5;9;11;20;
3147;6;32;34;0,01;7;5829;2018;5;9;11;20;
3148;5;31;35;61;0;5812;2018;5;9;11;20;
3149;2;31;17;61,97;0;5859;2018;5;9;11;20;
3150;4;30;44;58,28;0;5806;2018;5;9;11;20;
3151;3;31;34;57,95;0;5806;2018;5;9;11;21;
3152;6;-;0;0;0;0;2018;5;9;11;21;
3153;5;31;35;60,52;0;5812;2018;5;9;11;21;
3154;2;31;17;61,65;0;5859;2018;5;9;11;21;
3155;4;30;44;58,28;0;5806;2018;5;9;11;21;
3156;3;31;34;57,95;0;5806;2018;5;9;11;22;
3157;6;32;35;0,01;7;5835;2018;5;9;11;22;
3158;5;31;36;60,68;0;5812;2018;5;9;11;22;
3159;2;31;17;61,65;0;5859;2018;5;9;11;22;
3160;4;30;44;58,44;0;5806;2018;5;9;11;22;
3161;3;31;36;58,12;0;5812;2018;5;9;11;23;
3162;6;32;36;0,01;7;5829;2018;5;9;11;23;
3163;5;31;36;60,36;0;5818;2018;5;9;11;23;
3164;2;31;17;61,81;0;5859;2018;5;9;11;23;
3165;4;30;44;58,44;0;5806;2018;5;9;11;23;
3166;3;31;36;58,44;0;5812;2018;5;9;11;24;
3167;6;32;36;0,01;7;5829;2018;5;9;11;24;
3168;5;31;36;60,68;0;5812;2018;5;9;11;24;
