TEMPERATURA,HUMEDAD RELATIVA,HUMEDAD DE LA TIERRA,NIVEL UV,INTENSIDAD LUMÍNICA,HORA,TIME
29,48,67.91,0,5788,13,2018-05-09 13:45:00
29,49,68.23,0,5788,13,2018-05-09 13:46:00
29,50,68.39,0,5782,13,2018-05-09 13:47:00
29,50,68.55,0,5782,13,2018-05-09 13:48:00
28,51,68.55,0,5782,13,2018-05-09 13:49:00
28,51,68.55,0,5777,13,2018-05-09 13:50:00
28,52,68.23,0,5777,13,2018-05-09 13:51:00
28,52,68.07,0,5777,13,2018-05-09 13:52:00
28,52,68.23,0,5777,13,2018-05-09 13:53:00
28,52,68.23,0,5771,13,2018-05-09 13:54:00
28,52,68.23,0,5771,13,2018-05-09 13:55:00
28,52,68.07,0,5777,13,2018-05-09 13:56:00
28,52,68.07,0,5777,13,2018-05-09 13:57:00
28,52,68.23,0,5777,13,2018-05-09 13:58:00
28,52,68.55,0,5777,13,2018-05-09 13:59:00
28,52,68.39,0,5777,14,2018-05-09 14:00:00
28,52,68.23,0,5777,14,2018-05-09 14:01:00
28,53,68.39,0,5777,14,2018-05-09 14:02:00
28,53,68.39,0,5777,14,2018-05-09 14:03:00
28,53,68.55,0,5777,14,2018-05-09 14:04:00
28,53,68.39,0,5777,14,2018-05-09 14:05:00
28,53,68.55,0,5771,14,2018-05-09 14:06:00
28,53,68.71,0,5771,14,2018-05-09 14:07:00
28,53,68.87,0,5771,14,2018-05-09 14:08:00
28,54,68.87,0,5771,14,2018-05-09 14:09:00
28,54,68.87,0,5771,14,2018-05-09 14:10:00
28,54,68.71,0,5771,14,2018-05-09 14:11:00
28,54,68.71,0,5777,14,2018-05-09 14:12:00
28,54,68.71,0,5782,14,2018-05-09 14:13:00
28,54,68.71,0,5777,14,2018-05-09 14:14:00
28,54,68.55,0,5771,14,2018-05-09 14:15:00
28,55,68.55,0,5771,14,2018-05-09 14:16:00
28,55,68.55,0,5771,14,2018-05-09 14:17:00
28,55,68.55,0,5765,14,2018-05-09 14:18:00
28,55,68.71,0,5765,14,2018-05-09 14:19:00
28,55,68.71,0,5765,14,2018-05-09 14:20:00
28,55,68.71,0,5765,14,2018-05-09 14:21:00
28,55,68.55,0,5765,14,2018-05-09 14:22:00
28,56,68.55,0,5771,14,2018-05-09 14:23:00
28,56,68.23,0,5771,14,2018-05-09 14:24:00
28,56,68.39,0,5771,14,2018-05-09 14:25:00
28,57,68.39,0,5771,14,2018-05-09 14:26:00
28,57,68.23,0,5771,14,2018-05-09 14:27:00
28,57,68.23,0,5765,14,2018-05-09 14:28:00
28,57,68.39,0,5765,14,2018-05-09 14:29:00
28,57,68.39,0,5765,14,2018-05-09 14:30:00
28,57,68.39,0,5771,14,2018-05-09 14:31:00
28,57,68.55,0,5765,14,2018-05-09 14:32:00
27,58,68.55,0,5759,14,2018-05-09 14:34:00
27,58,68.55,0,5759,14,2018-05-09 14:35:00
27,59,68.71,0,5753,14,2018-05-09 14:37:00
27,59,68.39,0,5753,14,2018-05-09 14:38:00
27,60,68.23,0,5753,14,2018-05-09 14:39:00
27,61,68.39,0,5753,14,2018-05-09 14:40:00
27,61,68.23,0,5753,14,2018-05-09 14:41:00
27,63,68.39,0,5759,14,2018-05-09 14:43:00
27,64,68.39,0,5765,14,2018-05-09 14:44:00
27,65,68.23,0,5771,14,2018-05-09 14:45:00
27,65,68.39,0,5771,14,2018-05-09 14:46:00
26,68,68.39,0,5771,14,2018-05-09 14:47:00
26,70,68.39,0,5777,14,2018-05-09 14:48:00
26,71,68.39,0,5777,14,2018-05-09 14:49:00
26,72,68.39,0,5782,14,2018-05-09 14:50:00
26,74,68.39,0,5782,14,2018-05-09 14:51:00
26,75,73.68,0,5782,14,2018-05-09 14:52:00
26,76,73.04,0,5788,14,2018-05-09 14:53:00
26,80,71.6,0,5794,14,2018-05-09 14:55:00
26,82,70.79,0,5794,14,2018-05-09 14:56:00
26,82,71.28,0,5794,14,2018-05-09 14:57:00
26,86,71.28,0,5800,14,2018-05-09 14:58:00
26,86,71.28,0,5800,14,2018-05-09 14:59:00
26,86,71.12,0,5800,15,2018-05-09 15:00:00
26,89,71.12,0,5806,15,2018-05-09 15:01:00
26,89,71.12,0,5806,15,2018-05-09 15:02:00
26,89,71.12,0,5806,15,2018-05-09 15:03:00
26,89,70.96,0,5812,15,2018-05-09 15:04:00
26,89,70.96,0,5818,15,2018-05-09 15:05:00
26,89,71.12,0,5812,15,2018-05-09 15:06:00
26,89,71.12,0,5812,15,2018-05-09 15:07:00
26,89,70.96,0,5812,15,2018-05-09 15:08:00
26,89,71.12,0,5818,15,2018-05-09 15:09:00
26,89,71.28,0,5824,15,2018-05-09 15:10:00
26,89,70.96,0,5818,15,2018-05-09 15:11:00
26,89,70.96,0,5818,15,2018-05-09 15:12:00
26,89,70.96,0,5824,15,2018-05-09 15:13:00
26,89,70.79,0,5818,15,2018-05-09 15:14:00
26,89,70.79,0,5818,15,2018-05-09 15:15:00
26,90,70.79,0,5818,15,2018-05-09 15:16:00
26,90,70.63,0,5818,15,2018-05-09 15:17:00
26,92,70.63,0,5824,15,2018-05-09 15:18:00
26,92,70.47,0,5829,15,2018-05-09 15:19:00
