"IDMEDIDA","NODO","TEMPERATURA","HUMEDAD RELATIVA","HUMEDAD DE LA TIERRA","NIVEL UV","INTENSIDAD LUMÍNICA","TIME"
"139","5","31","36","61","0","5812","2018-05-09 11:19:00"
"140","2","31","17","61.97","0","5859","2018-05-09 11:19:00"
"141","5","31","35","61","0","5812","2018-05-09 11:20:00"
"142","2","31","17","61.97","0","5859","2018-05-09 11:20:00"
"143","5","31","35","60.52","0","5812","2018-05-09 11:21:00"
"144","2","31","17","61.65","0","5859","2018-05-09 11:21:00"
"145","5","31","36","60.68","0","5812","2018-05-09 11:22:00"
"146","2","31","17","61.65","0","5859","2018-05-09 11:22:00"
"147","5","31","36","60.36","0","5818","2018-05-09 11:23:00"
"148","2","31","17","61.81","0","5859","2018-05-09 11:23:00"
"149","5","31","36","60.68","0","5812","2018-05-09 11:24:00"
"150","2","31","17","61.65","0","5859","2018-05-09 11:24:00"
"151","5","31","36","61","0","5812","2018-05-09 11:25:00"
"152","2","31","17","61.65","0","5859","2018-05-09 11:25:00"
"153","5","31","36","61","0","5812","2018-05-09 11:26:00"
"154","2","31","17","61.65","0","5859","2018-05-09 11:26:00"
"155","5","31","37","60.84","0","5818","2018-05-09 11:27:00"
"156","2","31","17","61.81","0","5865","2018-05-09 11:27:00"
"157","5","30","39","61.16","0","5818","2018-05-09 11:28:00"
"158","2","31","17","61.65","0","5865","2018-05-09 11:28:00"
"159","5","30","37","61.65","0","5818","2018-05-09 11:29:00"
"160","2","31","17","61.81","0","5865","2018-05-09 11:29:00"
"161","5","30","37","61.49","0","5818","2018-05-09 11:30:00"
"162","2","31","17","61.97","0","5865","2018-05-09 11:30:00"
"163","2","31","17","61.65","0","5865","2018-05-09 11:31:00"
"164","5","30","37","61.65","0","5818","2018-05-09 11:32:00"
"165","2","31","17","61.65","0","5865","2018-05-09 11:32:00"
"166","5","30","37","61.97","0","5818","2018-05-09 11:33:00"
"167","2","31","17","61.81","0","5865","2018-05-09 11:33:00"
"168","5","30","37","61.97","0","5818","2018-05-09 11:34:00"
"169","2","31","17","61.81","0","5865","2018-05-09 11:34:00"
"170","5","30","37","62.61","0","5818","2018-05-09 11:35:00"
"171","2","31","17","61.81","0","5865","2018-05-09 11:35:00"
"172","5","30","37","62.29","0","5818","2018-05-09 11:36:00"
"173","2","31","17","61.97","0","5865","2018-05-09 11:36:00"
"174","5","30","37","62.61","0","5818","2018-05-09 11:37:00"
"175","2","31","17","61.97","0","5865","2018-05-09 11:37:00"
"176","5","30","38","62.61","0","5818","2018-05-09 11:38:00"
"177","2","31","17","61.81","0","5865","2018-05-09 11:38:00"
"178","5","30","41","63.09","0","5824","2018-05-09 11:39:00"
"179","2","31","17","61.81","0","5870","2018-05-09 11:39:00"
"180","5","30","42","62.93","0","5824","2018-05-09 11:40:00"
"181","2","30","18","61.65","0","5870","2018-05-09 11:40:00"
"182","5","30","44","63.25","0","5824","2018-05-09 11:41:00"
"183","2","30","18","61.65","0","5870","2018-05-09 11:41:00"
"184","5","30","45","63.25","0","5824","2018-05-09 11:42:00"
"185","2","30","18","61.65","0","5870","2018-05-09 11:42:00"
"186","5","30","46","63.57","0","5824","2018-05-09 11:43:00"
"187","2","30","18","61.65","0","5870","2018-05-09 11:43:00"
"188","2","30","18","61.65","0","5870","2018-05-09 11:44:00"
"189","5","30","49","63.57","0","5829","2018-05-09 11:45:00"
"190","2","30","18","61.65","0","5870","2018-05-09 11:45:00"
"191","5","30","51","64.05","0","5829","2018-05-09 11:46:00"
"192","2","30","18","61.65","0","5870","2018-05-09 11:46:00"
"193","5","30","52","63.89","0","5829","2018-05-09 11:47:00"
"194","2","30","18","61.65","0","5870","2018-05-09 11:47:00"
"195","5","30","51","63.89","0","5829","2018-05-09 11:48:00"
"196","2","30","18","61.81","0","5876","2018-05-09 11:48:00"
"197","5","30","52","64.05","0","5853","2018-05-09 11:49:00"
"198","2","30","18","61.81","0","5882","2018-05-09 11:49:00"
"199","5","30","52","64.21","0","5853","2018-05-09 11:50:00"
"200","2","30","18","61.81","0","5882","2018-05-09 11:50:00"
"201","5","30","52","64.21","0","5835","2018-05-09 11:51:00"
"202","2","30","18","61.65","0","5882","2018-05-09 11:51:00"
"203","5","30","52","64.7","0","5835","2018-05-09 11:52:00"
"204","2","30","18","61.65","0","5882","2018-05-09 11:52:00"
"205","5","30","51","64.21","0","5824","2018-05-09 11:53:00"
"206","2","30","18","61.65","0","5876","2018-05-09 11:53:00"
"207","5","30","51","63.89","0","5824","2018-05-09 11:54:00"
"208","2","30","18","61.65","0","5876","2018-05-09 11:54:00"
"209","5","30","52","64.54","0","5824","2018-05-09 11:55:00"
"210","2","30","18","61.65","0","5870","2018-05-09 11:55:00"
"211","5","30","52","64.05","0","5824","2018-05-09 11:56:00"
"212","2","30","18","61.65","0","5870","2018-05-09 11:56:00"
"213","5","30","52","64.05","0","5824","2018-05-09 11:57:00"
"214","2","30","18","61.65","0","5876","2018-05-09 11:57:00"
"215","5","30","52","64.54","0","5835","2018-05-09 11:58:00"
"216","2","30","18","61.65","0","5882","2018-05-09 11:58:00"
"217","5","30","52","64.54","0","5841","2018-05-09 11:59:00"
"218","2","30","18","61.65","0","5882","2018-05-09 11:59:00"
"219","5","30","53","64.54","0","5847","2018-05-09 12:00:00"
"220","2","30","18","61.49","1","5882","2018-05-09 12:00:00"
"221","5","30","53","65.02","0","5853","2018-05-09 12:01:00"
"222","2","30","18","61.49","0","5888","2018-05-09 12:01:00"
"223","5","30","52","64.86","0","5847","2018-05-09 12:02:00"
"224","2","31","17","61.49","0","5882","2018-05-09 12:02:00"
"225","5","30","52","64.7","0","5853","2018-05-09 12:03:00"
"226","2","31","17","61.49","0","5888","2018-05-09 12:03:00"
"227","5","31","51","64.86","0","5835","2018-05-09 12:04:00"
"228","2","31","17","61.49","0","5876","2018-05-09 12:04:00"
"229","5","31","51","64.54","0","5829","2018-05-09 12:05:00"
"230","2","30","18","61.65","0","5876","2018-05-09 12:05:00"
"231","5","30","51","64.86","0","5829","2018-05-09 12:06:00"
